epoch,step,lr,cfm,cfm_cohort_BraTS-GLI,cfm_cohort_LUMIERE,cfm_weight,contrastive,contrastive/bg_cap_hit_frac,contrastive/delta_abs_mean_in,contrastive/delta_abs_mean_out,contrastive/roi_cap_hit_frac,contrastive_weight,ema_decay,gpu_mem_peak_mb,grad_clip_active,grad_norm_cn_postclip,grad_norm_cn_preclip,grad_norm_trunk_postclip,grad_norm_trunk_preclip,samples_per_sec,step_time_sec,t_mean,total
0,76,3.8e-06,2.3547,1.83067,4.45451,1,-0.00362752,0,0.0121278,0.0119143,0,0.01,0.880952,13320.4,1,1,3.24302,0.0473667,0.153611,14.0532,0.142316,727,2.35466
0,77,3.85e-06,3.83638,4.33368,4.45451,1,-0.00361397,0,0.0120836,0.0120753,0,0.01,0.882353,13320.4,1,1,5.6236,0.0370878,0.208567,13.7319,0.145646,422.5,3.83635
0,78,3.9e-06,2.94171,4.33368,4.45451,1,-0.0034843,0,0.0116465,0.0115398,0,0.01,0.883721,13320.4,1,1,4.14039,0.0398462,0.164979,13.9627,0.143239,637.5,2.94168
0,79,3.95e-06,2.74956,1.73534,4.45451,1,-0.00361198,0,0.0120752,0.0118976,0,0.01,0.885057,13320.4,1,1,3.87901,0.0433522,0.168163,13.9969,0.142889,650,2.74952
0,80,4e-06,3.90754,1.73534,4.95629,1,-0.00379593,0,0.0126892,0.0119212,0,0.01,0.886364,13320.4,1,1,5.56632,0.0352459,0.19619,14.0335,0.142516,391,3.9075
0,81,4.05e-06,2.78054,1.73534,2.11776,1,-0.00358656,0,0.011993,0.0121308,0,0.01,0.88764,13320.4,1,1,3.94164,0.0441971,0.174209,13.9763,0.1431,643.5,2.7805
0,82,4.1e-06,3.30154,1.75532,2.11776,1,-0.00346974,0,0.0115992,0.0117257,0,0.01,0.888889,13320.4,1,1,4.55275,0.0391728,0.178344,13.9407,0.143465,574,3.3015
0,83,4.15e-06,4.84457,1.75532,2.11776,1,-0.00363917,0,0.0121651,0.0118209,0,0.01,0.89011,13320.4,1,1,7.0428,0.0319071,0.224715,14.1109,0.141734,255,4.84453
0,84,4.2e-06,4.23795,4.49208,2.11776,1,-0.00364819,0,0.0121972,0.0120505,0,0.01,0.891304,13320.4,1,1,6.37034,0.0348443,0.22197,13.7877,0.145057,370.5,4.23791
0,85,4.25e-06,4.73082,4.49208,5.22902,1,-0.00360405,0,0.0120481,0.0118467,0,0.01,0.892473,13320.4,1,1,6.92217,0.0324057,0.224318,14.2278,0.14057,274.5,4.73078
0,86,4.3e-06,3.56224,3.41983,5.22902,1,-0.00373274,0,0.0124813,0.0122311,0,0.01,0.893617,13320.4,1,1,5.50309,0.0378056,0.208048,14.0388,0.142462,473,3.5622
0,87,4.35e-06,2.90624,2.461,3.35148,1,-0.00372274,0,0.0124466,0.0121061,0,0.01,0.894737,13320.4,1,1,4.32686,0.0416348,0.180148,14.0935,0.141909,597,2.9062
