epoch,step,lr,cfm,contrastive,contrastive/bg_cap_hit_frac,contrastive/delta_abs_mean_in,contrastive/delta_abs_mean_out,contrastive/roi_cap_hit_frac,ema_decay,gpu_mem_peak_mb,grad_clip_active,grad_norm_cn_postclip,grad_norm_cn_preclip,grad_norm_trunk_postclip,grad_norm_trunk_preclip,samples_per_sec,step_time_sec,t_mean,total
0,84,4.2e-06,2.72558,-0.00283566,0,0.00946657,0.00905958,0,0.891304,17601.5,1,1,43.5463,0.998639,43.487,16.3471,0.122346,370.5,2.72556
0,85,4.25e-06,3.00839,-0.00282232,0,0.00942383,0.00886904,0,0.892473,17602.7,1,1,154.503,0.999828,154.476,16.3549,0.122288,274.5,3.00836
0,86,4.3e-06,2.34099,-0.00297008,0,0.00991486,0.00926276,0,0.893617,17602.3,1,1,121.161,0.999922,121.152,15.9266,0.125576,473,2.34096
0,87,4.35e-06,2.0371,-0.00298752,0,0.00997337,0.00935797,0,0.894737,17604.3,1,1,68.7082,0.999888,68.7005,15.8327,0.126321,597,2.03707
0,88,4.4e-06,2.03008,-0.00288779,0,0.00964022,0.00916033,0,0.895833,17601.2,1,1,97.1051,0.999927,97.0979,16.3562,0.122277,615.5,2.03005
0,89,4.45e-06,2.48304,-0.00270205,0,0.00902636,0.00886622,0,0.896907,17605.2,1,1,161.491,0.999945,161.482,16.2687,0.122935,466,2.48301
0,90,4.5e-06,1.51131,-0.00272074,0,0.00908243,0.00890595,0,0.897959,17603.5,1,1,50.0656,0.999948,50.063,16.11,0.124146,794,1.51129
0,91,4.55e-06,2.55744,-0.00296765,0,0.00990635,0.00909305,0,0.89899,17596.2,1,1,123.065,0.9999,123.052,16.1118,0.124133,402,2.55741
0,92,4.6e-06,2.22491,-0.00281362,0,0.00939183,0.00885984,0,0.9,17600.2,1,1,80.5706,0.999876,80.5607,16.1544,0.123805,541,2.22488
0,93,4.65e-06,2.37347,-0.0027605,0,0.00921436,0.0087107,0,0.90099,17597.4,1,1,44.1878,0.999393,44.161,16.2424,0.123134,467.5,2.37344
0,94,4.7e-06,1.76143,-0.00267537,0,0.00892982,0.00855707,0,0.901961,17602.2,1,1,27.9757,0.999742,27.9685,16.0978,0.124241,709.5,1.7614
0,95,4.75e-06,2.09938,-0.00279187,0,0.00931828,0.00857811,0,0.902913,17602.2,1,1,44.0411,0.999637,44.0252,16.2377,0.12317,567.5,2.09935
0,96,4.8e-06,2.55137,-0.00268129,0,0.0089508,0.00840614,0,0.903846,17601.6,1,1,121.51,0.999879,121.495,16.2914,0.122764,402,2.55135
0,97,4.85e-06,2.28099,-0.00262241,0,0.00875355,0.00854281,0,0.904762,17607.2,1,1,61.5052,0.999744,61.4894,16.4176,0.121821,508.5,2.28096
0,98,4.9e-06,2.32078,-0.00253345,0,0.00845781,0.00831672,0,0.90566,17602.6,1,1,151.265,0.999933,151.255,16.2815,0.122839,501.5,2.32076
0,99,4.95e-06,2.77244,-0.00270418,0,0.00902706,0.00842557,0,0.906542,17601.7,1,1,156.714,0.999877,156.695,16.2825,0.122832,267.5,2.77241
0,100,5e-06,2.36145,-0.00255883,0,0.00854352,0.00818426,0,0.907407,17604.2,1,1,180.913,0.999938,180.901,16.3469,0.122347,488.5,2.36142
0,101,5.05e-06,2.07133,-0.00278806,0,0.00930567,0.0086137,0,0.908257,17605.8,1,1,91.1352,0.999919,91.1278,16.2767,0.122875,529,2.0713
0,102,5.1e-06,2.31148,-0.00244791,0,0.00817369,0.00811077,0,0.909091,17603.8,1,1,181.911,0.999946,181.901,16.2176,0.123322,489,2.31145
0,103,5.15e-06,2.88323,-0.00271326,0,0.00905747,0.0084515,0,0.90991,17605.7,1,1,76.3291,0.999541,76.294,16.1204,0.124066,235.5,2.8832
0,104,5.2e-06,1.6956,-0.00267934,0,0.00894275,0.00848707,0,0.910714,17606.3,1,1,47.773,0.99993,47.7697,16.2068,0.123405,712.5,1.69557
0,105,5.25e-06,1.78697,-0.00262362,0,0.00875665,0.00833051,0,0.911504,17603.2,1,1,48.7594,0.999928,48.7559,16.1629,0.12374,714,1.78695
0,106,5.3e-06,2.02985,-0.00268618,0,0.00896506,0.00835144,0,0.912281,17601.2,1,1,52.3802,0.999831,52.3713,16.2533,0.123052,602,2.02982
0,107,5.35e-06,2.81292,-0.00276096,0,0.00921487,0.00836175,0,0.913043,17605,1,1,101.072,0.99979,101.05,16.2238,0.123275,265.5,2.81289
0,108,5.4e-06,2.28264,-0.00258894,0,0.0086408,0.00830834,0,0.913793,17600.9,1,1,144.651,0.999949,144.643,16.1708,0.123679,474.5,2.28261
0,109,5.45e-06,1.81212,-0.00256849,0,0.00857236,0.00818757,0,0.91453,17603.2,1,1,63.4249,0.999936,63.4209,16.3487,0.122334,700.5,1.8121
0,110,5.5e-06,2.66091,-0.00263047,0,0.0087798,0.00812408,0,0.915254,17603.2,1,1,79.3995,0.999719,79.3772,16.0715,0.124444,307.5,2.66089
0,111,5.55e-06,2.19582,-0.00269996,0,0.00901075,0.00830723,0,0.915966,17600.2,1,1,89.2935,0.999911,89.2855,16.2781,0.122865,499.5,2.19579
0,112,5.6e-06,1.29549,-0.00249448,0,0.00832517,0.00804487,0,0.916667,17602.8,1,1,30.501,0.999861,30.4967,16.3645,0.122216,929,1.29547
0,113,5.65e-06,1.64635,-0.00245222,0,0.00818425,0.00806064,0,0.917355,17600.7,1,1,15.6382,0.999695,15.6334,16.2868,0.122799,754,1.64633
0,114,5.7e-06,2.61941,-0.00259194,0,0.00865096,0.00802846,0,0.918033,17600.5,1,1,94.9138,0.999759,94.891,16.0335,0.124739,275.5,2.61938
0,115,5.75e-06,2.0753,-0.00255441,0,0.00852503,0.00799808,0,0.918699,17602,1,1,40.4109,0.999788,40.4023,16.2193,0.12331,546.5,2.07527
0,116,5.8e-06,1.3915,-0.00245811,0,0.00820355,0.0079509,0,0.919355,17603.1,1,1,29.7824,0.99989,29.7791,16.0619,0.124518,893,1.39148
0,117,5.85e-06,1.70521,-0.00255412,0,0.0085236,0.00801586,0,0.92,17600.3,1,1,32.1225,0.999884,32.1187,16.0913,0.124291,687.5,1.70518
0,118,5.9e-06,1.77168,-0.00252167,0,0.00841532,0.00792851,0,0.920635,17600.1,1,1,30.3469,0.99989,30.3435,16.1908,0.123527,676.5,1.77165
0,119,5.95e-06,2.21536,-0.00256235,0,0.00855162,0.00790915,0,0.92126,17601,1,1,126.399,0.999922,126.389,16.0268,0.124791,431,2.21534
